text,label,dsl
"Do the laundry, but first wash the car",REVERSE,"car.wash(), laundry_room.clean(laundry)"
"Clean the kitchen, then empty the trash",FIRST,"kitchen.clean(), trash.empty()"
"Water the plants and then vacuum the living room",FIRST,"garden.water(plants), living_room.vacuum()"
"Take out the trash, but first clean the kitchen sink",REVERSE,"kitchen.clean(sink), trash_can.empty()"
"Clean the kitchen. No, do the laundry instead",REPLACE,"laundry_room.clean(laundry)"
"Start the dishwasher. Nevermind",CLEAR,"EMPTY"
"Cook dinner, then set the table, and finally clean the dishes",APPEND,"kitchen.cook(dinner), dining_room.set(table), kitchen.clean(dishes)"
"Feed the cat, then clean the litter box",FIRST,"pet_bed.refill(), litter_box.clean()"
"Clean the kitchen",DSL,"kitchen.clean()"
"Empty the trash",DSL,"trash.empty()"
"Vacuum the living room",DSL,"living_room.vacuum()"
"Wash the car",DSL,"car.wash()"
"Mow the lawn",DSL,"lawn.mow()"
"Organize the garage, but first vacuum the car",REVERSE,"car.vacuum(), garage.organize()"
"Clean the windows and dust the shelves",FIRST,"windows.clean(), shelves.dust()"
"Do the laundry and fold the clothes",FIRST,"laundry_room.clean(), closet.organize()"
"Vacuum the living room carpet and dust the curtains",FIRST,"living_room.vacuum(carpet), curtains.dust()"
"Clean the bathroom sink and then disinfect the toilet",FIRST,"bathroom.clean(sink), toilet.disinfect()"
"Organize the tools in the garage, then tidy the storage bins",FIRST,"garage.organize(tools), storage_bins.tidy()"
"Empty the trash can, but first clean the kitchen",REVERSE,"kitchen.clean(), trash_can.empty()"
"Do the laundry, but first wash the car",REVERSE,"car.wash(), laundry_room.clean(laundry)"
"Clean the kitchen, then empty the trash",FIRST,"kitchen.clean(), trash.empty()"
"Water the plants and then vacuum the living room",FIRST,"garden.water(plants), living_room.vacuum()"
"Take out the trash, but first clean the kitchen sink",REVERSE,"kitchen.clean(sink), trash_can.empty()"
"Clean the kitchen. No, do the laundry instead",REPLACE,"laundry_room.clean(laundry)"
"Start the dishwasher. Nevermind",CLEAR,"EMPTY"
"Cook dinner, then set the table, and finally clean the dishes",APPEND,"kitchen.cook(dinner), dining_room.set(table), kitchen.clean(dishes)"
"Feed the cat, then clean the litter box",FIRST,"pet_bed.refill(), litter_box.clean()"
"Clean the kitchen",DSL,"kitchen.clean()"
"Empty the trash",DSL,"trash.empty()"
"Vacuum the living room",DSL,"living_room.vacuum()"
"Wash the car",DSL,"car.wash()"
"Mow the lawn",DSL,"lawn.mow()"
"Organize the garage, but first vacuum the car",REVERSE,"car.vacuum(), garage.organize()"
"Clean the windows and dust the shelves",FIRST,"windows.clean(), shelves.dust()"
"Do the laundry and fold the clothes",FIRST,"laundry_room.clean(), closet.organize()"
"Vacuum the living room carpet and dust the curtains",FIRST,"living_room.vacuum(carpet), curtains.dust()"
"Clean the bathroom sink and then disinfect the toilet",FIRST,"bathroom.clean(sink), toilet.disinfect()"
"Organize the tools in the garage, then tidy the storage bins",FIRST,"garage.organize(tools), storage_bins.tidy()"
"Empty the trash can, but first clean the kitchen",REVERSE,"kitchen.clean(), trash_can.empty()"
"Vacuum the living room and dust the shelves",FIRST,"living_room.vacuum(), shelves.dust()"
